Date : 2025-01-26 18:46:03
Directory : /home/clr/projects/movie-app
Total : 220 files,  19006 codes, 588 comments, 1601 blanks, all 21195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/clr/projects/movie-app/components/landing-page/body.tsx                                                   | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /home/clr/projects/movie-app/components/layout/background.tsx                                                   | TypeScript JSX     |          9 |          3 |          6 |         18 |
| /home/clr/projects/movie-app/components/layout/bg-player.tsx                                                    | TypeScript JSX     |         43 |         15 |          6 |         64 |
| /home/clr/projects/movie-app/components/layout/content-background.tsx                                           | TypeScript JSX     |         23 |          0 |          6 |         29 |
| /home/clr/projects/movie-app/components/layout/image-with-loader.tsx                                            | TypeScript JSX     |         26 |          0 |          3 |         29 |
| /home/clr/projects/movie-app/components/layout/loader.tsx                                                       | TypeScript JSX     |         12 |          0 |          2 |         14 |
| /home/clr/projects/movie-app/components/layout/pagination-wrapper.tsx                                           | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /home/clr/projects/movie-app/components/layout/searchbar-wrapper.tsx                                            | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /home/clr/projects/movie-app/components/layout/sidebar-wrapper.tsx                                              | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /home/clr/projects/movie-app/components/layout/sidebar.tsx                                                      | TypeScript JSX     |        125 |          0 |         20 |        145 |
| /home/clr/projects/movie-app/components/movie/body.tsx                                                          | TypeScript JSX     |         53 |          0 |          6 |         59 |
| /home/clr/projects/movie-app/components/movie/movie-sort-input.tsx                                              | TypeScript JSX     |         95 |          0 |          7 |        102 |
| /home/clr/projects/movie-app/components/people/carousel-wrapper.tsx                                             | TypeScript JSX     |         42 |          0 |          6 |         48 |
| /home/clr/projects/movie-app/components/people/credits-list.tsx                                                 | TypeScript JSX     |         42 |          0 |          4 |         46 |
| /home/clr/projects/movie-app/components/people/ext-links-list.tsx                                               | TypeScript JSX     |         53 |          0 |          4 |         57 |
| /home/clr/projects/movie-app/components/people/known-section.tsx                                                | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /home/clr/projects/movie-app/components/people/past-works.tsx                                                   | TypeScript JSX     |         59 |          0 |          6 |         65 |
| /home/clr/projects/movie-app/components/people/person-header.tsx                                                | TypeScript JSX     |         55 |          0 |          6 |         61 |
| /home/clr/projects/movie-app/components/people/toggle-follow.tsx                                                | TypeScript JSX     |         18 |          0 |          3 |         21 |
| /home/clr/projects/movie-app/components/search-section/body.tsx                                                 | TypeScript JSX     |         37 |          0 |          6 |         43 |
| /home/clr/projects/movie-app/components/search-section/multi-grid.tsx                                           | TypeScript JSX     |         46 |          0 |          5 |         51 |
| /home/clr/projects/movie-app/components/search-section/multi-skeleton-grid.tsx                                  | TypeScript JSX     |         13 |          0 |          2 |         15 |
| /home/clr/projects/movie-app/components/search-section/user-list.tsx                                            | TypeScript JSX     |         39 |          0 |          5 |         44 |
| /home/clr/projects/movie-app/components/theme/theme-provider.tsx                                                | TypeScript JSX     |          7 |          0 |          3 |         10 |
| /home/clr/projects/movie-app/components/theme/toggle-theme.tsx                                                  | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /home/clr/projects/movie-app/components/tv/body.tsx                                                             | TypeScript JSX     |         62 |          0 |          6 |         68 |
| /home/clr/projects/movie-app/components/tv/season-modal.tsx                                                     | TypeScript JSX     |        102 |          0 |          9 |        111 |
| /home/clr/projects/movie-app/components/tv/seasons-section.tsx                                                  | TypeScript JSX     |         27 |          0 |          6 |         33 |
| /home/clr/projects/movie-app/components/tv/tv-sort-input.tsx                                                    | TypeScript JSX     |         91 |          0 |          7 |         98 |
| /home/clr/projects/movie-app/components/ui/button.tsx                                                           | TypeScript JSX     |         52 |          0 |          6 |         58 |
| /home/clr/projects/movie-app/components/ui/calendar.tsx                                                         | TypeScript JSX     |         67 |          0 |          6 |         73 |
| /home/clr/projects/movie-app/components/ui/card.tsx                                                             | TypeScript JSX     |         68 |          0 |          9 |         77 |
| /home/clr/projects/movie-app/components/ui/carousel.tsx                                                         | TypeScript JSX     |        232 |          0 |         31 |        263 |
| /home/clr/projects/movie-app/components/ui/chart.tsx                                                            | TypeScript JSX     |        332 |          2 |         37 |        371 |
| /home/clr/projects/movie-app/components/ui/command.tsx                                                          | TypeScript JSX     |        136 |          0 |         17 |        153 |
| /home/clr/projects/movie-app/components/ui/dialog.tsx                                                           | TypeScript JSX     |        109 |          0 |         13 |        122 |
| /home/clr/projects/movie-app/components/ui/donut.tsx                                                            | TypeScript JSX     |         56 |          0 |         10 |         66 |
| /home/clr/projects/movie-app/components/ui/dropdown-menu.tsx                                                    | TypeScript JSX     |        187 |          0 |         19 |        206 |
| /home/clr/projects/movie-app/components/ui/genres-pie-chart.tsx                                                 | TypeScript JSX     |        106 |          0 |         14 |        120 |
| /home/clr/projects/movie-app/components/ui/input.tsx                                                            | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/clr/projects/movie-app/components/ui/label.tsx                                                            | TypeScript JSX     |         21 |          0 |          6 |         27 |
| /home/clr/projects/movie-app/components/ui/pagination.tsx                                                       | TypeScript JSX     |         51 |          0 |          4 |         55 |
| /home/clr/projects/movie-app/components/ui/popover.tsx                                                          | TypeScript JSX     |         26 |          0 |          8 |         34 |
| /home/clr/projects/movie-app/components/ui/radial-chart.tsx                                                     | TypeScript JSX     |        106 |          1 |         13 |        120 |
| /home/clr/projects/movie-app/components/ui/render-stars.tsx                                                     | TypeScript JSX     |         15 |          0 |          3 |         18 |
| /home/clr/projects/movie-app/components/ui/searchbar.tsx                                                        | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /home/clr/projects/movie-app/components/ui/separator.tsx                                                        | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /home/clr/projects/movie-app/components/ui/sheet.tsx                                                            | TypeScript JSX     |        125 |          0 |         15 |        140 |
| /home/clr/projects/movie-app/components/ui/table.tsx                                                            | TypeScript JSX     |        110 |          0 |         11 |        121 |
| /home/clr/projects/movie-app/components/ui/tabs.tsx                                                             | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /home/clr/projects/movie-app/components/ui/textarea.tsx                                                         | TypeScript JSX     |         19 |          0 |          4 |         23 |
| /home/clr/projects/movie-app/components/ui/toast.tsx                                                            | TypeScript JSX     |        116 |          0 |         13 |        129 |
| /home/clr/projects/movie-app/components/ui/toaster.tsx                                                          | TypeScript JSX     |         32 |          0 |          4 |         36 |
| /home/clr/projects/movie-app/components/ui/toggle.tsx                                                           | TypeScript JSX     |         39 |          0 |          7 |         46 |
| /home/clr/projects/movie-app/components/ui/tooltip.tsx                                                          | TypeScript JSX     |         25 |          0 |          8 |         33 |
| /home/clr/projects/movie-app/components/user/activity-section.tsx                                               | TypeScript JSX     |         93 |          0 |         15 |        108 |
| /home/clr/projects/movie-app/components/user/body.tsx                                                           | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /home/clr/projects/movie-app/components/user/featured-content.tsx                                               | TypeScript JSX     |         54 |          0 |          5 |         59 |
| /home/clr/projects/movie-app/components/user/featured-modal.tsx                                                 | TypeScript JSX     |         39 |         27 |          7 |         73 |
| /home/clr/projects/movie-app/components/user/featured-tabs.tsx                                                  | TypeScript JSX     |        152 |          0 |         11 |        163 |
| /home/clr/projects/movie-app/components/user/friends-management.tsx                                             | TypeScript JSX     |         39 |          0 |          4 |         43 |
| /home/clr/projects/movie-app/components/user/friends-modal.tsx                                                  | TypeScript JSX     |         34 |          0 |          3 |         37 |
| /home/clr/projects/movie-app/components/user/friends-tabs.tsx                                                   | TypeScript JSX     |        102 |          0 |          7 |        109 |
| /home/clr/projects/movie-app/components/user/header.tsx                                                         | TypeScript JSX     |         56 |          0 |          8 |         64 |
| /home/clr/projects/movie-app/components/user/modal-opener-button.tsx                                            | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /home/clr/projects/movie-app/components/user/modal.tsx                                                          | TypeScript JSX     |        120 |          0 |         12 |        132 |
| /home/clr/projects/movie-app/components/user/people-modal.tsx                                                   | TypeScript JSX     |         94 |          0 |          7 |        101 |
| /home/clr/projects/movie-app/components/user/rating-modal.tsx                                                   | TypeScript JSX     |         94 |          0 |          7 |        101 |
| /home/clr/projects/movie-app/components/user/requests-modal.tsx                                                 | TypeScript JSX     |         80 |          0 |          9 |         89 |
| /home/clr/projects/movie-app/components/user/review-modal.tsx                                                   | TypeScript JSX     |         94 |          0 |          7 |        101 |
| /home/clr/projects/movie-app/components/user/watchlist-modal.tsx                                                | TypeScript JSX     |         95 |          0 |          7 |        102 |
| /home/clr/projects/movie-app/lib/actions/auth.ts                                                                | TypeScript         |        206 |          0 |         29 |        235 |
| /home/clr/projects/movie-app/lib/constants.ts                                                                   | TypeScript         |        148 |          0 |         17 |        165 |
| /home/clr/projects/movie-app/lib/fetchers.ts                                                                    | TypeScript         |          8 |        347 |         15 |        370 |
| /home/clr/projects/movie-app/lib/fetchers/index.ts                                                              | TypeScript         |        222 |          0 |         33 |        255 |
| /home/clr/projects/movie-app/lib/fetchers/prisma.ts                                                             | TypeScript         |        222 |          0 |         27 |        249 |
